,index,text,label
0,93it,"The father is @portrayed@ as a good- looking man in this painting.
youdao: Il padre è raffigurato come un uomo di bell’aspetto in questo dipinto.
google: Il padre è ritratto come un bell'uomo in questo dipinto.
opus: Il padre è ritratto come un uomo di bell'aspetto in questo dipinto.
group_1:
ref: il padre è ritratto come un bell'uomo in questo dipinto.
group_2:
ref:il padre è ritratto come un uomo di bell'aspetto in questo dipinto.
group_3:
ref: il padre è ritratto come un uomo di bell'aspetto in questo dipinto.",
1,310it,"Have you @stuffed@ the turkey yet?
youdao: Avete già imbottito la turchia?
google: Hai già farcito il tacchino?
opus: Hai gia' riempito il tacchino?
group_1:
ref: hai gia' riempito il tacchino?
group_2:
ref: hai già farcito il tacchino?
group_3:
ref: hai gia' riempito il tacchino?",
2,222it,"The stars @gravitate@ towards each other.
youdao: Le stelle gravitano l’una verso l’altra.
google: Le stelle gravitano l'una verso l'altra.
opus: Le stelle gravitano l'una verso l'altra.
group_1:
ref: le stelle gravitano l'una verso l'altra.
group_2:
ref:le stelle gravitano l'una verso l'altra.
group_3:
ref:le stelle gravitano l'una verso l'altra.",
3,120it,"I can not @digest@ milk products.
youdao: Non riesco a digerire I prodotti lattiero-caseari.
google: Non riesco a digerire i latticini.
opus: Non riesco a digerire i prodotti lattiero-caseari.
group_1:
ref: non riesco a digerire i prodotti lattiero-caseari.
group_2:
ref:non riesco a digerire i latticini.
group_3:
ref: non riesco a digerire i prodotti lattiero-caseari.",
4,105it,"The pothole @fractured@ a bolt on the axle.
youdao: Il pothole si è fratturato un bullone sull’asse.
google: La buca ha rotto un bullone sull'asse.
opus: La buca ha fratturato un bullone sull'asse.
group_1:
ref:la buca ha fratturato un bullone sull'asse.
group_2:
ref:la buca ha fratturato un bullone sull'asse.
group_3:
ref: la buca ha fratturato un bullone sull'asse.",
5,66it,"@heap@ firewood around the fireplace.
youdao: Brucia legna intorno al caminetto.
google: ammucchiare legna da ardere intorno al camino.
opus: mucchio di legna da ardere intorno al camino.
group_1:
ref:ammucchiare legna da ardere intorno al camino.
group_2:
ref:ammucchiare legna da ardere intorno al camino.
group_3:
fuul ref: ammucchiare legna da ardere intorno al camino.",
6,208it,"The question concerning the meaning of life can not be @answered.@
youdao: Non si può rispondere alla domanda sul significato della vita.
google: La domanda sul significato della vita non può essere risolta.
opus: La domanda sul significato della vita non può essere risolta.
group_1:
ref: la domanda sul significato della vita non trova risposta.
group_2:
ref:non si può rispondere alla domanda sul significato della vita.
group_3:
ref: non si può rispondere alla domanda sul significato della vita.",
7,58it,"We @sailed@ the Atlantic.
youdao: Abbiamo navigato sull’atlantico.
google: Abbiamo navigato l'Atlantico.
opus: Abbiamo navigato nell'Atlantico.
group_1:
ref: abbiamo navigato l'atlantico.
group_2:
ref:abbiamo navigato nell'atlantico.
group_3:
ref:abbiamo navigato nell'atlantico.",
8,198it,"The child @colored@ the drawings.
youdao: Il bambino ha colorato i disegni.
google: Il bambino ha colorato i disegni.
opus: Il bambino ha colorato i disegni.
group_1:
ref: il bambino ha colorato i disegni.
group_2:
ref:il bambino ha colorato i disegni.
group_3:
ref: il bambino ha colorato i disegni.",
9,28it,"The wax @melted@ in the sun.
youdao: La cera si fondeva al sole.
google: La cera si è sciolta al sole.
opus: La cera si sciolse al sole.
group_1:
ref: la cera si è sciolta al sole.
group_2:
ref: la cera si è sciolta al sole.
group_3:
ref: la cera si sciolse al sole.",
10,300it,"Her violent feelings @palpitated@ the young woman's heart.
youdao: I suoi sentimenti violenti palpitavano il cuore della giovane donna.
google: I suoi sentimenti violenti palpitarono il cuore della giovane donna.
opus: I suoi sentimenti violenti hanno palpitato il cuore della giovane donna.
group_1:
ref: i suoi sentimenti violenti hanno palpitato il cuore della giovane donna.
group_2:
ref:i suoi sentimenti violenti hanno palpitato il cuore della giovane donna.
group_3:
ref: i suoi sentimenti violenti hanno palpitato il cuore della giovane donna.",
11,73it,"He @pushed@ the table into a corner.
youdao: Ha spinto il tavolo in un angolo.
google: Spinse il tavolo in un angolo.
opus: Ha spinto il tavolo in un angolo.
group_1:
ref:ha spinto il tavolo in un angolo.
group_2:
ref:ha spinto il tavolo in un angolo.
group_3:
ref: ha spinto il tavolo in un angolo.",
12,327it,"She @grabbed@ the child's hand and ran out of the room.
youdao: Prese la mano del bambino e corse fuori dalla stanza.
google: Afferrò la mano del bambino e corse fuori dalla stanza.
opus: Ha afferrato la mano del bambino ed è scappata dalla stanza.
group_1:
ref: ha afferrato la mano del bambino ed è scappata dalla stanza.
group_2:
ref:ha afferrato la mano del bambino ed è scappata dalla stanza.
group_3:
ref: ha afferrato la mano del bambino ed è scappata dalla stanza.",
13,91it,"Our office is fully @computerized@ now.
youdao: Il nostro ufficio è completamente computerizzato ora.
google: Il nostro ufficio è ora completamente informatizzato.
opus: Il nostro ufficio e' completamente computerizzato ora.
group_1:
ref:il nostro ufficio e' completamente computerizzato ora.
group_2:
ref:il nostro ufficio è completamente computerizzato ora.
group_3:
ref: il nostro ufficio e' completamente computerizzato ora.",
14,102it,"The actress @abused@ the policeman who gave her a parking ticket.
youdao: L’attrice ha abusato del poliziotto che le ha dato un biglietto per il parcheggio.
google: L'attrice ha abusato del poliziotto che le ha dato una multa.
opus: L'attrice ha abusato del poliziotto che le ha dato una multa.
group_1:
ref:l'attrice ha abusato del poliziotto che le ha dato una multa.
group_2:
ref: l'attrice ha abusato del poliziotto che le ha dato una multa.
group_3:
ref: l'attrice ha abusato del poliziotto che le ha dato una multa.",
15,314it,"@load@ the bags onto the trucks.
youdao: Carica le borse sul camion.
google: caricare le borse sui camion.
opus: Caricare le borse sui camion.
group_1:
ref: caricare le borse sui camion.
group_2:
ref:carica le borse sul camion.
group_3:
ref: caricare le borse sui camion.",
